X         Y         Z         data
-10.3589  84.3664   0         -1.0
-8.88492  84.5344   0         -1.0
-7.40824  84.6766   0         -1.0
-5.9293   84.7929   0         -1.0
-4.44856  84.8835   0         -1.0
-2.96646  84.9482   0         226.7
-1.48345  84.987    0         215.1
0         85        0         188.4
0         80        0         278.4
1.39619   79.9878   0         252.6
2.79196   79.9513   0         250.1
4.18688   79.8904   0         261.7
5.58052   79.8051   0         222.6
6.97246   79.6956   0         237.6
8.36228   79.5618   0         259.2
9.74955   79.4037   0         213.4
11.1339   79.2215   0         224.2
12.5148   79.0151   0         223.4
13.8918   78.7846   0         255.9
15.2647   78.5302   0         230.9
16.6329   78.2518   0         234.2
17.9961   77.9496   0         227.6
19.3538   77.6237   0         233.4
20.7055   77.2741   0         223.4
22.051    76.9009   0         248.4
23.3897   76.5044   0         269.3
24.7214   76.0845   0         254.2
26.0454   75.6415   0         272.6
27.3616   75.1754   0         300.9
28.6694   74.6864   0         269.2
29.9685   74.1747   0         300.9
31.2585   73.6404   0         329.3
32.5389   73.0836   0         325.1
33.8095   72.5046   0         340.1
35.0697   71.9035   0         329.3
36.3192   71.2805   0         366.0
37.5577   70.6358   0         340.1
38.7848   69.9696   0         378.5
40        69.282    0         333.5
41.203    68.5734   0         365.1
42.3935   67.8439   0         385.2
43.5711   67.0936   0         354.3
44.7354   66.323    0         398.5
45.8861   65.5322   0         400.2
47.0228   64.7214   0         400.2
48.1452   63.8908   0         361.0
49.2529   63.0409   0         366.0
50.3456   62.1717   0         356.8
51.423    61.2836   0         366.8
52.4847   60.3768   0         351.8
53.5305   59.4516   0         305.9
54.5599   58.5083   0         288.4
55.5727   57.5472   0         286.8
56.5685   56.5685   0         265.9
57.5472   55.5727   0         280.9
58.5083   54.5599   0         279.3
59.4516   53.5305   0         250.9
60.3768   52.4847   0         255.1
61.2836   51.423    0         231.7
62.1717   50.3456   0         219.2
63.0409   49.2529   0         240.1
63.8908   48.1452   0         205.1
64.7214   47.0228   0         218.4
65.5322   45.8861   0         209.2
66.323    44.7354   0         216.7
67.0936   43.5711   0         220.9
67.8439   42.3935   0         195.9
68.5734   41.203    0         221.7
69.282    40        0         220.9
69.9696   38.7848   0         175.0
70.6358   37.5577   0         193.4
71.2805   36.3192   0         206.7
71.9035   35.0697   0         200.9
72.5046   33.8095   0         174.2
73.0836   32.5389   0         207.5
73.6404   31.2585   0         193.4
74.1747   29.9685   0         185.0
74.6864   28.6694   0         173.4
75.1754   27.3616   0         176.7
75.6415   26.0454   0         190.9
76.0845   24.7214   0         209.2
76.5044   23.3897   0         196.7
76.9009   22.051    0         210.0
77.2741   20.7055   0         202.5
77.6237   19.3538   0         207.6
77.9496   17.9961   0         196.7
78.2518   16.6329   0         188.4
78.5302   15.2647   0         204.2
78.7846   13.8918   0         202.5
79.0151   12.5148   0         205.0
79.2215   11.1339   0         215.9
79.4037   9.74955   0         178.4
79.5618   8.36228   0         187.5
79.6956   6.97246   0         205.9
79.8051   5.58052   0         190.0
79.8904   4.18688   0         166.7
79.9513   2.79196   0         177.5
79.9878   1.39619   0         160.0
80        0         0         157.5
79.9878   -1.39619  0         165.9
79.9513   -2.79196  0         140.9
79.8904   -4.18688  0         170.0
79.8051   -5.58052  0         152.5
79.6956   -6.97246  0         146.7
79.5618   -8.36228  0         133.4
79.4037   -9.74955  0         162.5
79.2215   -11.1339  0         150.0
79.0151   -12.5148  0         131.7
78.7846   -13.8918  0         128.4
78.5302   -15.2647  0         148.4
78.2518   -16.6329  0         135.0
77.9496   -17.9961  0         139.2
77.6237   -19.3538  0         130.9
77.2741   -20.7055  0         149.2
76.9009   -22.051   0         119.2
76.5044   -23.3897  0         117.5
76.0845   -24.7214  0         135.0
75.6415   -26.0454  0         130.9
75.1754   -27.3616  0         129.2
74.6864   -28.6694  0         150.0
74.1747   -29.9685  0         149.2
73.6404   -31.2585  0         140.9
